"UWI" "TVD_GBI" "TVD" "TVD_diff"
"166" 30045354800000 5437.55 5356.16 -81.3900000000003
"167" 30045354810000 5173.91 5103.06 -70.8499999999995
"168" 30045354820000 4808.09 4788.87 -19.2200000000003
"169" 30045354860000 5477.89 5430.73 -47.1600000000008
"170" 30045354870000 5376.95 5337.4 -39.5500000000002
"171" 30045354880000 5318.67 5269.26 -49.4099999999999
"172" 30045354890000 5446.04 5382.38 -63.6599999999999
"173" 30045354910000 5528.22 5371.31 -156.91
"174" 30045354920000 5466.28 5472.8 6.52000000000044
"175" 30045354930100 5320.74 5174.65 -146.09
"176" 30045354950000 5375.92 5247.78 -128.14
"177" 30045354960000 5328.98 5157.38 -171.599999999999
"178" 30045354970000 5348.69 5222.05 -126.639999999999
"179" 30045354980000 5288.59 5115.45 -173.14
"180" 30045354990100 5526.91 5474.63 -52.2799999999997
"181" 3.0045355e+13 5099.02 4938.89 -160.13
"182" 30045355030000 5248.28 5054.99 -193.29
"183" 30045355040000 5193.25 5011.74 -181.51
"184" 30045355070000 5502.04 5456.36 -45.6800000000003
"185" 30045355190000 5433.81 5416.81 -17
"186" 30045355200000 5424.35 5358.05 -66.3000000000002
"187" 30045355210000 5334.51 5320.51 -14
"188" 30045355240000 4886.16 4815.55 -70.6099999999997
"189" 30045355250000 4865.46 4787.59 -77.8699999999999
"190" 30045355260000 4848.79 4761.05 -87.7399999999998
"191" 30045355270000 4866.93 4790.08 -76.8500000000004
"192" 30045355290000 5548.98 5492.35 -56.6299999999992
"193" 30045355300000 5263.09 5165.5 -97.5900000000001
"194" 30045355330100 5724.51 5683.7 -40.8100000000004
"195" 30045355340000 5721.88 5702.12 -19.7600000000002
"196" 30045355380000 5303.69 5291.33 -12.3599999999997
"197" 30045355390000 5324.76 5312.66 -12.1000000000004
"198" 30045355450000 5385.66 5421.34 35.6800000000003
"199" 30045355480000 5171.98 5118.96 -53.0199999999995
"200" 30045355490000 5228.36 5047.61 -180.75
"201" 30045355500000 5243.53 5068.78 -174.75
"202" 30045355510000 5190.41 5093.68 -96.7299999999996
"203" 30045355530000 5351.76 5215.26 -136.5
