"UWI" "MD" "TVD" "EWOFFSET" "NSOFFSET" "DIP" "AZM" "TVDSS" "XPATH" "YPATH" "SURNAME" "SURSTAT" "Borehole.Direction"
"133" 30045295790000 7240 5568.29 1765.08 -573.26 91.44 110.84 501.71 470278.67 2014069.03 "Actual" "Active" "up"
"134" 30045352420100 10995 5267.01 -6416.25 -895.59 89.58 267.07 671.99 388239.8 2031861.61 "Actual" "Active" "down"
"135" 30045353130100 9585 5306.41 -4592.27 0.79 90.7 269.7 1529.59 509294.38 1931614.12 "Actual" "Active" "up"
"136" 30045353150000 8800 4470.42 -4541.3 -30.08 90.2 271.2 2156.58 472609.17 1915841.97 "Actual" "Active" "up"
"137" 30045353190100 8950 4552.32 -4656.55 -4.59 91.4 271.4 2023.68 467362.51 1913941.4 "Actual" "Active" "up"
"138" 30045353220000 10020 5445.49 -4764.18 -77.89 91.4 263.2 1448.51 525077.04 1927597.14 "Actual" "Active" "up"
"139" 30045353280100 9029 4729.73 -4591.35 -29.61 90.3 264.8 2139.27 541133.15 1881350.86 "Actual" "Active" "up"
"140" 30045353410100 9760 5584.8 -4453.72 3.29 92.1 266.2 1065.2 477680.05 1970935.29 "Actual" "Active" "up"
"141" 30045353610000 8950 4688.59 -4603.82 -38.7 91 267.2 1931.41 472574.43 1917058.35 "Actual" "Active" "up"
"142" 30045353620100 9828 5443.67 -4625.5 23.65 91 273 1390.33 509298.56 1933166.86 "Actual" "Active" "up"
"143" 30045353650000 9415 5445.79 -4209.59 -17.38 90.3 268.4 1541.21 551586.43 1912168.8 "Actual" "Active" "up"
"144" 30045353670000 8965 4654.62 -4569.26 -34.12 90.8 270.4 2118.38 483097.79 1915560.88 "Actual" "Active" "up"
"145" 30045353700000 10958 6015.5 5184.29 738.96 89.76 83.61 668.5 483326.64 2000957.39 "Actual" "Active" "down"
"146" 30045353870000 11415 5067.6 -6799.46 428.32 90.16 266.38 1336.4 454334.91 1975279.65 "Actual" "Active" "up"
"147" 30045353900000 9615 5036.53 -4652.51 496.06 90.9 268.7 1840.47 498801.25 1919840.03 "Actual" "Active" "up"
"148" 30045353910000 9385 4978.58 -4608.34 281.08 90.5 267.2 1865.42 498810.67 1918599.36 "Actual" "Active" "up"
"149" 30045354190000 9240 4645.89 224.78 -4731.27 90.9 180.7 2169.11 499369.07 1910119.18 "Actual" "Active" "up"
"150" 30045354320000 10470 5502.1 -5132.72 314.66 91.9 270.7 1386.9 493581.19 1940143.92 "Actual" "Active" "up"
"151" 30045354340000 10573 5490.46 -5324.22 -641.41 91.1 269.6 1432.54 493611.44 1936562.32 "Actual" "Active" "up"
"152" 30045354350000 10955 5528.62 -5364.54 940.02 90.6 269.2 1394.38 493599.08 1938152.77 "Actual" "Active" "up"
"153" 30045354390100 9751 4991.8 -4648.48 764.85 90.04 267.51 1880.7 541050.99 1901515.19 "Actual" "Active" "up"
"154" 30045354400000 10284 5088.08 -5447.08 493.12 92.1 271.8 1787.92 509346.69 1919742.36 "Actual" "Active" "up"
"155" 30045354410100 10349 5439.9 -4557.28 1034.72 89.52 268.2 1592.1 535637.17 1917404.12 "Actual" "Active" "down"
"156" 30045354420100 10155 5309.26 -5007.17 -15.55 90.4 268.1 1599.74 478022.5 1937740.4 "Actual" "Active" "up"
"157" 30045354490000 10294 4688.26 -838.24 -5225.15 93.1 179.3 2193.74 496787.65 1910146 "Actual" "Active" "up"
"158" 30045354500000 9740 4708.6 452.34 -5223.81 91.4 179.8 2170.4 498066.28 1910120.18 "Actual" "Active" "up"
"159" 30045354510000 10425 5362.32 -5184.68 -1.11 90.9 271.5 1592.68 530341.3 1917093.48 "Actual" "Active" "up"
"160" 30045354520000 11950 6008.56 6203.99 -171.97 91.8 92.32 378.44 495466.21 2030445.48 "Actual" "Active" "up"
"161" 30045354670000 11065 5337.89 4198.8 -4127.72 92.7 132.7 1524.11 534631.35 1921172.43 "Actual" "Active" "up"
"162" 30045354740000 10505 5507.48 -4818.02 1474.67 91.8 271.73 1414.52 556735.6 1917458.09 "Actual" "Active" "up"
"163" 30045354760000 9417 4801.01 -4653.22 813.3 90.3 269.6 2072.99 493564.96 1917219.48 "Actual" "Active" "up"
"164" 30045354780000 10563 5329.25 -5260.04 491.48 90.7 270.2 1607.75 509309.83 1923246.84 "Actual" "Active" "up"
"165" 30045354790000 10338 5304.62 -5299.22 -432.39 92.6 265.7 1691.38 509327.68 1921179.48 "Actual" "Active" "up"
"166" 30045354800000 10440 5356.16 -5324.67 494.79 90.4 270.9 1634.84 509313.77 1922133.75 "Actual" "Active" "up"
"167" 30045354810000 10140 5103.06 -5256.88 5.54 91.1 274.9 1833.94 509312.51 1922730.91 "Actual" "Active" "up"
"168" 30045354820000 9310 4788.87 -4658.17 -493.23 90 271.5 2101.13 493560.1 1915882.96 "Actual" "Active" "down"
"169" 30045354860000 10572 5430.73 -5297.63 730.32 91 265.9 1561.27 493593.28 1933101.89 "Actual" "Active" "up"
"170" 30045354870000 10463 5337.4 -5230.78 466.49 90.8 271.1 1470.6 498777.45 1933106.64 "Actual" "Active" "up"
"171" 30045354880000 10614 5269.26 -5201.89 -889.36 91.6 267.89 1538.74 498788.25 1931725.78 "Actual" "Active" "up"
"172" 30045354890000 10450 5382.38 -5305.34 -590.98 89.9 265.6 1609.62 493591.49 1931751.61 "Actual" "Active" "down"
"173" 30045354910000 10541 5371.31 -4742.67 -171.06 90.92 268.81 1663.69 535505.16 1915532.05 "Actual" "Active" "up"
"174" 30045354920000 10800 5472.8 5638.15 14.42 91.1 89 1514.2 561457.59 1912165.66 "Actual" "Active" "up"
"175" 30045354930100 12346 5174.65 -7222.92 220.94 92 263.8 1716.35 481269.97 1935046.69 "Actual" "Active" "up"
"176" 30045354950000 10651 5247.78 5282.84 914.5 91.36 91.76 1623.22 551041.99 1912138.36 "Actual" "Active" "up"
"177" 30045354960000 10592 5157.38 -4809.58 566.21 89.87 272.11 1739.62 540996.23 1909555.89 "Actual" "Active" "down"
"178" 30045354970000 10521 5222.05 5357.21 -955.2 90.04 91.39 1647.95 551077.54 1910262.59 "Actual" "Active" "up"
"179" 30045354980000 10566 5115.45 -4821.95 -1312.05 92.07 271.42 1781.55 541019.83 1907662.69 "Actual" "Active" "up"
"180" 30045354990100 10644 5474.63 -5403.81 646.35 93.2 274.88 1385.37 551315.66 1921376.84 "Actual" "Active" "up"
"181" 3.0045355e+13 10360 4938.89 -4803.3 -1130.37 91.45 270.2 1927.11 540864.16 1899660.07 "Actual" "Active" "up"
